theta,unregulated_barrier,sber_style_barrier
1.775409074774191520e+00,1.625785426091774122e+00,1.716930353085982963e+00
1.788000628495994393e+00,1.572345639164667297e+00,1.659837695282489367e+00
1.800592182217797266e+00,1.522658049892905874e+00,1.606494435018202216e+00
1.813183735939599917e+00,1.476365285585082177e+00,1.556519675468901465e+00
1.825775289661402789e+00,1.433164734912057536e+00,1.509591804098704637e+00
1.838366843383205440e+00,1.392798007458280196e+00,1.465436868059552644e+00
1.850958397105008313e+00,1.355042820134486625e+00,1.423819671058138558e+00
1.863549950826810964e+00,1.319706669623514017e+00,1.384536861440090139e+00
1.876141504548613836e+00,1.286621839175214221e+00,1.347411500112552396e+00
1.888733058270416709e+00,1.255641415982907461e+00,1.312288743895569709e+00
1.901324611992219360e+00,1.226636083495571627e+00,1.279032380488362097e+00
1.913916165714022233e+00,1.199491514755007149e+00,1.247522021297598149e+00
1.926507719435824884e+00,1.174106236764636435e+00,1.217650807948155389e+00
1.939099273157627756e+00,1.150389867580823511e+00,1.189323523885762013e+00
1.951690826879430407e+00,1.128261650973729324e+00,1.162455028372881838e+00
1.964282380601233280e+00,1.107649230631256199e+00,1.136968949249086425e+00
1.976873934323036153e+00,1.088487618687637326e+00,1.112796585033079655e+00
1.989465488044838803e+00,1.070718323035427577e+00,1.089875977638312676e+00
2.002057041766641454e+00,1.054288605261791689e+00,1.068151125105048393e+00
2.014648595488444549e+00,1.039150846731946354e+00,1.047571309990455113e+00
2.027240149210247200e+00,1.025262004752775846e+00,1.028090523886415308e+00
2.039831702932049851e+00,1.012583144199758589e+00,1.009666972301465515e+00
2.052423256653852501e+00,1.001079032709527805e+00,9.922626471044455609e-01
2.065014810375655596e+00,9.907177896985150944e-01,9.758429560719482643e-01
2.077606364097458247e+00,9.814705811924597789e-01,9.603764009508128918e-01
2.090197917819260898e+00,9.733113538379463137e-01,9.458342969466182470e-01
2.102789471541063993e+00,9.662166025886389509e-01,9.321905277600534001e-01
2.115381025262866643e+00,9.601651674712969875e-01,9.194213312765812107e-01
2.127972578984669294e+00,9.551380555831643360e-01,9.075051118183378174e-01
2.140564132706471945e+00,9.511182850864533522e-01,8.964222755274839916e-01
2.153155686428275040e+00,9.480907484734630852e-01,8.861550859957583182e-01
2.165747240150077690e+00,9.460420927980986994e-01,8.766875377083928056e-01
2.178338793871880341e+00,9.449606149224178964e-01,8.680052452495312654e-01
2.190930347593683436e+00,9.448361701233116694e-01,8.600953465350394955e-01
2.203521901315486087e+00,9.456600926549146857e-01,8.529464186083841604e-01
2.216113455037288738e+00,9.474251270751996579e-01,8.465484047652716004e-01
2.228705008759091388e+00,9.501253693272146972e-01,8.408925519703681628e-01
2.241296562480894483e+00,9.537562167220769993e-01,8.359713577007402696e-01
